nl,ml
september 14 2001,2001/9/14
12-Aug-80,1980/8/12
thursday may 10 2007,2007/5/10
saturday november 18 2000,2000/11/18
1-Jun-09,2009/6/1
13-Dec-76,1976/12/13
tuesday november 12 1996,1996/11/12
aug 3 1970,1970/8/3
wednesday july 15 2009,2009/7/15
saturday december 2 1989,1989/12/2
monday october 12 1992,1992/10/12
28-Dec-92,1992/12/28
6 08 11,2011/8/6
1-Nov-10,2010/11/1
monday january 14 1974,1974/1/14
sunday april 17 1977,1977/4/17
16-Apr-02,2002/4/16
17-Apr-98,1998/4/17
5/24/96,1996/5/24
11-Sep-79,1979/9/11
july 17 2007,2007/7/17
7 09 98,1998/9/7
thursday march 13 1980,1980/3/13
1-Jul-81,1981/7/1
december 6 1970,1970/12/6
wednesday february 11 1981,1981/2/11
tuesday march 21 1995,1995/3/21
04.10.05,2005/10/4
monday february 10 1986,1986/2/10
march 9 1996,1996/3/9
march 27 2000,2000/3/27
20 12 85,1985/12/20
sunday august 14 1983,1983/8/14
thursday january 25 1973,1973/1/25
december 26 1971,1971/12/26
10/11/82,1982/10/11
tuesday january 11 1972,1972/1/11
monday february 4 1974,1974/2/4
thursday june 12 1986,1986/6/12
wednesday april 7 2004,2004/4/7
jul 6 2004,2004/7/6
saturday july 14 2001,2001/7/14
saturday march 9 1974,1974/3/9
wednesday april 17 1991,1991/4/17
wednesday november 15 2000,2000/11/15
oct 3 1971,1971/10/3
october 4 1979,1979/10/4
sunday april 16 2006,2006/4/16
friday june 2 1978,1978/6/2
wednesday june 3 1992,1992/6/3
saturday april 17 1999,1999/4/17
thursday july 5 1984,1984/7/5
14-Mar-17,2017/3/14
8/28/92,1992/8/28
friday december 20 1985,1985/12/20
tuesday march 1 1977,1977/3/1
18-Jul-70,1970/7/18
1-Apr-02,2002/4/1
monday november 29 1971,1971/11/29
7-Mar-74,1974/3/7
thursday january 31 2008,2008/1/31
4-Oct-92,1992/10/4
31-May-00,2000/5/31
5-Mar-90,1990/3/5
mar 24 2013,2013/3/24
4-Jun-99,1999/6/4
wednesday july 16 1980,1980/7/16
21.04.05,2005/4/21
wednesday january 3 2001,2001/1/3
thursday september 29 1983,1983/9/29
october 9 1970,1970/10/9
19.05.87,1987/5/19
monday july 14 2008,2008/7/14
tuesday may 10 1988,1988/5/10
sunday october 11 1992,1992/10/11
monday july 9 1990,1990/7/9
01.02.80,1980/2/1
11-Dec-82,1982/12/11
29-Aug-93,1993/8/29
1 10 85,1985/10/1
thursday august 30 1990,1990/8/30
20-Sep-94,1994/9/20
apr 27 1973,1973/4/27
22.12.92,1992/12/22
21 08 11,2011/8/21
23-Jan-80,1980/1/23
28-May-94,1994/5/28
sunday september 13 2009,2009/9/13
friday june 26 1987,1987/6/26
5-Oct-86,1986/10/5
26 10 72,1972/10/26
16-Mar-09,2009/3/16
12.01.89,1989/1/12
sunday july 25 2004,2004/7/25
may 14 1979,1979/5/14
monday september 5 2005,2005/9/5
thursday december 15 1988,1988/12/15
saturday march 24 2012,2012/3/24
friday august 19 1983,1983/8/19
19-Jun-70,1970/6/19
4 12 03,2003/12/4
8-Jul-89,1989/7/8
7-Nov-11,2011/11/7
friday november 5 1982,1982/11/5
17-Sep-89,1989/9/17
19-Aug-06,2006/8/19
thursday december 22 1983,1983/12/22
saturday december 18 1971,1971/12/18
thursday january 27 1972,1972/1/27
sunday april 29 1984,1984/4/29
mar 4 2000,2000/3/4
16-Aug-81,1981/8/16
august 31 2007,2007/8/31
thursday august 30 2012,2012/8/30
saturday april 3 1976,1976/4/3
june 13 1988,1988/6/13
30-May-07,2007/5/30
august 17 1976,1976/8/17
3/21/76,1976/3/21
saturday march 19 1977,1977/3/19
july 9 2000,2000/7/9
28.11.80,1980/11/28
14-Apr-11,2011/4/14
15-Oct-05,2005/10/15
08.12.98,1998/12/8
wednesday january 6 2016,2016/1/6
tuesday january 28 2003,2003/1/28
wednesday july 22 2009,2009/7/22
17-Dec-92,1992/12/17
march 28 1987,1987/3/28
27 06 04,2004/6/27
december 30 1993,1993/12/30
monday august 17 1970,1970/8/17
saturday november 6 1976,1976/11/6
tuesday april 25 1972,1972/4/25
7 11 17,2017/11/7
monday december 21 1970,1970/12/21
saturday january 28 2017,2017/1/28
19-Jun-83,1983/6/19
thursday october 21 2010,2010/10/21
sep 17 2000,2000/9/17
saturday july 1 1972,1972/7/1
tuesday august 6 1996,1996/8/6
sunday november 19 2006,2006/11/19
sunday november 7 1971,1971/11/7
friday january 17 1975,1975/1/17
wednesday june 17 2015,2015/6/17
4-May-92,1992/5/4
friday december 1 2006,2006/12/1
thursday november 14 1991,1991/11/14
16.03.09,2009/3/16
thursday december 29 1977,1977/12/29
21.03.14,2014/3/21
1-Oct-00,2000/10/1
2-Sep-95,1995/9/2
thursday may 31 1990,1990/5/31
sunday february 22 1976,1976/2/22
17-Sep-96,1996/9/17
2-Jan-74,1974/1/2
saturday april 4 1998,1998/4/4
21-Dec-97,1997/12/21
august 15 2001,2001/8/15
21-Mar-88,1988/3/21
24-Aug-08,2008/8/24
13-Feb-91,1991/2/13
monday february 16 1976,1976/2/16
march 16 1987,1987/3/16
monday december 12 2011,2011/12/12
11-Mar-08,2008/3/11
saturday february 11 2012,2012/2/11
june 7 1998,1998/6/7
3/19/08,2008/3/19
tuesday january 2 1979,1979/1/2
july 10 1977,1977/7/10
05.11.71,1971/11/5
sep 6 2013,2013/9/6
04.02.15,2015/2/4
13.02.92,1992/2/13
16-Oct-90,1990/10/16
29-Jan-12,2012/1/29
may 19 1995,1995/5/19
18-Jan-10,2010/1/18
monday may 16 1983,1983/5/16
monday june 16 1986,1986/6/16
october 4 2013,2013/10/4
16-Mar-04,2004/3/16
09.04.72,1972/4/9
monday july 25 1983,1983/7/25
sunday june 2 2002,2002/6/2
11-Oct-83,1983/10/11
saturday july 14 2001,2001/7/14
22-Sep-90,1990/9/22
sunday august 13 1989,1989/8/13
november 30 1998,1998/11/30
31 03 01,2001/3/31
december 3 2003,2003/12/3
06.02.97,1997/2/6
5 06 93,1993/6/5
saturday february 8 1997,1997/2/8
04.03.75,1975/3/4
thursday november 17 1983,1983/11/17
wednesday july 27 2011,2011/7/27
november 2 2013,2013/11/2
11.01.17,2017/1/11
saturday march 13 2010,2010/3/13
sunday april 30 1972,1972/4/30
oct 22 1974,1974/10/22
monday may 12 1997,1997/5/12
18-Jun-77,1977/6/18
tuesday august 24 1976,1976/8/24
monday april 17 1995,1995/4/17
10-Oct-04,2004/10/10
sep 20 1991,1991/9/20
sunday august 4 1991,1991/8/4
19-Jun-96,1996/6/19
saturday january 29 1983,1983/1/29
monday january 1 1979,1979/1/1
march 8 1975,1975/3/8
tuesday march 7 2006,2006/3/7
08.11.00,2000/11/8
13-Jan-95,1995/1/13
15-Apr-13,2013/4/15
21-Aug-90,1990/8/21
10/27/15,2015/10/27
12.01.17,2017/1/12
2005/7/14,2014/5/7
1-May-14,2014/5/1
wednesday february 21 1973,1973/2/21
sunday july 4 1971,1971/7/4
8-Jul-83,1983/7/8
25-Jun-94,1994/6/25
19-Sep-98,1998/9/19
friday january 2 2004,2004/1/2
wednesday november 23 1983,1983/11/23
monday november 30 2009,2009/11/30
28-Apr-76,1976/4/28
sunday april 2 2006,2006/4/2
6-Jul-70,1970/7/6
4/8/85,1985/4/8
28-Jul-10,2010/7/28
30-Apr-02,2002/4/30
31-Aug-98,1998/8/31
sunday july 17 2016,2016/7/17
sunday april 29 1979,1979/4/29
saturday august 2 1975,1975/8/2
jul 12 1999,1999/7/12
12-Aug-71,1971/8/12
march 26 2014,2014/3/26
sep 5 1985,1985/9/5
saturday june 30 2012,2012/6/30
tuesday july 30 1974,1974/7/30
october 6 2005,2005/10/6
thursday august 2 1984,1984/8/2
friday april 4 2008,2008/4/4
sunday october 22 1978,1978/10/22
monday august 13 2001,2001/8/13
26-Feb-00,2000/2/26
saturday july 6 1974,1974/7/6
23-Oct-06,2006/10/23
21 10 95,1995/10/21
2/17/94,1994/2/17
dec 26 1975,1975/12/26
friday september 15 1989,1989/9/15
12 04 11,2011/4/12
monday august 7 1995,1995/8/7
7-Jan-82,1982/1/7
march 31 1972,1972/3/31
friday march 5 2010,2010/3/5
september 3 2006,2006/9/3
2 07 12,2012/7/2
saturday april 24 2010,2010/4/24
20 04 94,1994/4/20
1-Dec-74,1974/12/1
wednesday november 8 2000,2000/11/8
16-Sep-01,2001/9/16
friday september 18 1970,1970/9/18
saturday april 2 2016,2016/4/2
saturday july 5 1980,1980/7/5
sep 20 2010,2010/9/20
october 4 1994,1994/10/4
wednesday february 11 1976,1976/2/11
tuesday june 28 2011,2011/6/28
wednesday february 27 2002,2002/2/27
monday december 11 1978,1978/12/11
friday december 2 2016,2016/12/2
02.11.87,1987/11/2
tuesday november 5 2002,2002/11/5
wednesday july 30 2014,2014/7/30
tuesday august 8 1972,1972/8/8
saturday march 4 2000,2000/3/4
3-Jan-07,2007/1/3
saturday may 1 1971,1971/5/1
monday september 29 1997,1997/9/29
4-May-77,1977/5/4
sunday july 5 2015,2015/7/5
12.04.70,1970/4/12
16-Jul-86,1986/7/16
october 17 1977,1977/10/17
6-Dec-86,1986/12/6
monday september 23 2013,2013/9/23
jun 20 2005,2005/6/20
2007/7/4,2004/7/7
06.12.91,1991/12/6
13-Aug-04,2004/8/13
03.07.80,1980/7/3
sunday may 22 1988,1988/5/22
25-Aug-09,2009/8/25
july 27 2013,2013/7/27
4/12/71,1971/4/12
14-Apr-80,1980/4/14
april 23 2004,2004/4/23
friday january 2 2004,2004/1/2
friday december 30 1988,1988/12/30
wednesday february 16 2000,2000/2/16
monday january 17 2005,2005/1/17
thursday november 13 1980,1980/11/13
september 20 2016,2016/9/20
14-Feb-87,1987/2/14
august 21 1982,1982/8/21
30-Jun-13,2013/6/30
26-Feb-12,2012/2/26
february 19 2016,2016/2/19
september 19 2006,2006/9/19
30-Jul-99,1999/7/30
nov 3 1974,1974/11/3
4-Feb-71,1971/2/4
october 14 1971,1971/10/14
1 11 15,2015/11/1
sunday october 6 1996,1996/10/6
april 1 1999,1999/4/1
26 05 01,2001/5/26
8-Sep-11,2011/9/8
wednesday february 16 2000,2000/2/16
25-May-91,1991/5/25
thursday january 7 1999,1999/1/7
6 02 05,2005/2/6
6-Jun-92,1992/6/6
friday october 22 1982,1982/10/22
27-Sep-11,2011/9/27
monday february 2 1981,1981/2/2
monday august 26 1991,1991/8/26
saturday september 24 2016,2016/9/24
12-Feb-97,1997/2/12
7-Jan-83,1983/1/7
19-May-92,1992/5/19
november 23 1980,1980/11/23
monday july 9 1979,1979/7/9
20-Nov-73,1973/11/20
monday may 13 2002,2002/5/13
jul 2 2013,2013/7/2
jun 14 1996,1996/6/14
thursday may 14 1981,1981/5/14
2/17/82,1982/2/17
1-Feb-90,1990/2/1
12-Apr-03,2003/4/12
wednesday january 19 2000,2000/1/19
saturday may 29 1999,1999/5/29
sunday april 3 2016,2016/4/3
14-Oct-85,1985/10/14
saturday july 26 2003,2003/7/26
17-Feb-97,1997/2/17
14-Nov-03,2003/11/14
7-Apr-14,2014/4/7
wednesday november 18 1998,1998/11/18
august 19 1978,1978/8/19
20-Oct-93,1993/10/20
27-Mar-75,1975/3/27
friday june 23 1989,1989/6/23
friday july 18 2008,2008/7/18
30-Oct-78,1978/10/30
friday april 2 1971,1971/4/2
11-Apr-77,1977/4/11
5-Oct-80,1980/10/5
24-Mar-83,1983/3/24
monday april 13 1970,1970/4/13
25-Aug-90,1990/8/25
13-Sep-00,2000/9/13
27-Apr-70,1970/4/27
tuesday june 1 1993,1993/6/1
29-Aug-10,2010/8/29
14 10 98,1998/10/14
wednesday august 4 1993,1993/8/4
thursday november 27 1980,1980/11/27
friday march 23 1979,1979/3/23
22-Mar-75,1975/3/22
tuesday october 27 1981,1981/10/27
thursday september 10 2015,2015/9/10
5-Aug-14,2014/8/5
tuesday april 15 2014,2014/4/15
24-Jun-15,2015/6/24
20-Sep-81,1981/9/20
18 06 88,1988/6/18
saturday february 26 2011,2011/2/26
14-Sep-12,2012/9/14
tuesday september 11 1984,1984/9/11
6 08 79,1979/8/6
tuesday november 1 1988,1988/11/1
sunday may 12 1985,1985/5/12
12-Mar-16,2016/3/12
30-Jan-70,1970/1/30
august 11 1970,1970/8/11
2-Jun-88,1988/6/2
nov 20 1983,1983/11/20
saturday january 22 1983,1983/1/22
30-May-13,2013/5/30
13-Aug-83,1983/8/13
10-Sep-15,2015/9/10
tuesday november 23 1971,1971/11/23
sunday november 29 1981,1981/11/29
31-Jan-15,2015/1/31
saturday may 21 2016,2016/5/21
thursday may 5 1977,1977/5/5
thursday october 19 1972,1972/10/19
thursday october 28 1982,1982/10/28
18.04.10,2010/4/18
1-Apr-81,1981/4/1
friday august 5 1994,1994/8/5
6-Feb-94,1994/2/6
6-Apr-92,1992/4/6
monday november 16 2015,2015/11/16
sunday october 13 2013,2013/10/13
tuesday march 4 2008,2008/3/4
saturday june 28 2008,2008/6/28
monday august 8 2016,2016/8/8
29 03 11,2011/3/29
20 12 99,1999/12/20
sunday december 16 1973,1973/12/16
sunday january 1 1995,1995/1/1
monday march 7 1994,1994/3/7
sunday june 13 1993,1993/6/13
thursday january 12 2017,2017/1/12
friday may 13 2011,2011/5/13
2-Nov-00,2000/11/2
february 14 1976,1976/2/14
monday november 29 1993,1993/11/29
6-Apr-80,1980/4/6
monday july 15 2002,2002/7/15
2 07 92,1992/7/2
wednesday may 4 1994,1994/5/4
friday november 2 1990,1990/11/2
august 15 1977,1977/8/15
september 24 1990,1990/9/24
4-Jan-04,2004/1/4
september 12 2010,2010/9/12
8/26/80,1980/8/26
25 10 98,1998/10/25
jan 16 2006,2006/1/16
saturday february 17 2001,2001/2/17
wednesday march 10 1976,1976/3/10
thursday april 21 1988,1988/4/21
11-Jun-06,2006/6/11
24-Jun-17,2017/6/24
sunday july 4 2004,2004/7/4
friday november 25 1988,1988/11/25
saturday january 25 1992,1992/1/25
thursday september 16 1999,1999/9/16
10-Apr-04,2004/4/10
wednesday september 30 1987,1987/9/30
thursday march 14 2002,2002/3/14
nov 8 2005,2005/11/8
friday june 28 1991,1991/6/28
september 25 2012,2012/9/25
sep 1 1994,1994/9/1
13-Jul-77,1977/7/13
sunday december 25 1994,1994/12/25
28 07 87,1987/7/28
10-Jul-06,2006/7/10
jun 6 2008,2008/6/6
15-Dec-78,1978/12/15
friday march 13 2009,2009/3/13
16-Oct-10,2010/10/16
12-Aug-87,1987/8/12
january 12 2009,2009/1/12
monday august 7 2017,2017/8/7
thursday october 8 1981,1981/10/8
january 2 1977,1977/1/2
8-Sep-74,1974/9/8
tuesday march 24 1970,1970/3/24
saturday july 20 1996,1996/7/20
sunday may 23 1971,1971/5/23
saturday may 30 1987,1987/5/30
7-May-01,2001/5/7
9-Jun-78,1978/6/9
september 18 2010,2010/9/18
tuesday july 18 2000,2000/7/18
dec 18 1974,1974/12/18
tuesday april 24 1990,1990/4/24
july 27 1977,1977/7/27
friday october 7 2016,2016/10/7
25-Oct-79,1979/10/25
31 08 04,2004/8/31
monday april 25 1988,1988/4/25
wednesday september 16 2009,2009/9/16
13.07.87,1987/7/13
may 3 1984,1984/5/3
5/13/87,1987/5/13
29-Sep-04,2004/9/29
2-Jan-88,1988/1/2
saturday august 24 2013,2013/8/24
23 07 07,2007/7/23
09.12.92,1992/12/9
sunday july 16 2006,2006/7/16
friday november 11 2011,2011/11/11
saturday june 1 2002,2002/6/1
2-Jul-02,2002/7/2
sunday september 21 1986,1986/9/21
tuesday december 9 1975,1975/12/9
sunday february 26 2006,2006/2/26
sep 1 1991,1991/9/1
11-Jan-97,1997/1/11
september 21 1988,1988/9/21
june 10 2000,2000/6/10
24-Mar-74,1974/3/24
8/23/17,2017/8/23
30 11 15,2015/11/30
thursday august 30 1984,1984/8/30
friday june 14 2002,2002/6/14
sunday september 7 1980,1980/9/7
tuesday october 7 2008,2008/10/7
3-Oct-15,2015/10/3
10-Feb-89,1989/2/10
june 14 2004,2004/6/14
thursday march 22 1979,1979/3/22
june 19 1997,1997/6/19
dec 22 1996,1996/12/22
february 18 1990,1990/2/18
thursday may 1 2014,2014/5/1
4 01 92,1992/1/4
february 9 1972,1972/2/9
23.11.00,2000/11/23
sunday august 3 2008,2008/8/3
thursday december 13 1973,1973/12/13
dec 8 1988,1988/12/8
wednesday december 21 1988,1988/12/21
5-Jun-98,1998/6/5
25-Feb-87,1987/2/25
21-May-16,2016/5/21
friday january 10 1992,1992/1/10
august 11 1993,1993/8/11
14-Nov-98,1998/11/14
28-Feb-85,1985/2/28
6/25/06,2006/6/25
sunday april 20 1997,1997/4/20
16-Nov-72,1972/11/16
wednesday august 10 1977,1977/8/10
29-Apr-05,2005/4/29
wednesday july 29 1981,1981/7/29
wednesday november 6 2013,2013/11/6
1-Oct-87,1987/10/1
wednesday december 31 2008,2008/12/31
tuesday april 13 2010,2010/4/13
tuesday june 26 1984,1984/6/26
thursday october 18 2012,2012/10/18
thursday february 3 1972,1972/2/3
monday august 10 1992,1992/8/10
13-Jul-94,1994/7/13
wednesday march 24 1982,1982/3/24
12/26/83,1983/12/26
saturday march 20 2004,2004/3/20
30-Nov-98,1998/11/30
dec 13 2007,2007/12/13
november 24 1999,1999/11/24
monday february 14 1983,1983/2/14
7/31/71,1971/7/31
saturday february 15 2014,2014/2/15
wednesday december 26 2007,2007/12/26
8/4/77,1977/8/4
09.09.11,2011/9/9
december 1 2005,2005/12/1
saturday november 19 2016,2016/11/19
april 23 1987,1987/4/23
1-Jun-02,2002/6/1
tuesday june 16 1970,1970/6/16
wednesday february 21 1996,1996/2/21
28-Mar-94,1994/3/28
11-Nov-92,1992/11/11
thursday march 14 1974,1974/3/14
11-Dec-89,1989/12/11
april 10 2001,2001/4/10
22 10 96,1996/10/22
tuesday september 30 2014,2014/9/30
june 22 1990,1990/6/22
1-Sep-79,1979/9/1
april 18 1976,1976/4/18
thursday october 2 1986,1986/10/2
tuesday january 18 2011,2011/1/18
friday april 8 1983,1983/4/8
28-Jun-90,1990/6/28
wednesday october 19 1983,1983/10/19
july 22 1975,1975/7/22
tuesday july 24 2001,2001/7/24
monday december 12 1988,1988/12/12
tuesday november 15 1988,1988/11/15
23-Jun-91,1991/6/23
monday march 9 1970,1970/3/9
17-Aug-16,2016/8/17
friday october 21 2005,2005/10/21
28-Jan-77,1977/1/28
6-Jul-72,1972/7/6
28-Jul-90,1990/7/28
november 17 1974,1974/11/17
5-Dec-83,1983/12/5
april 3 2001,2001/4/3
3 01 73,1973/1/3
19-May-82,1982/5/19
14-Apr-99,1999/4/14
2-Mar-84,1984/3/2
3-Jan-04,2004/1/3
6-Feb-00,2000/2/6
apr 7 1974,1974/4/7
thursday april 21 1988,1988/4/21
thursday september 19 1974,1974/9/19
sunday october 23 2011,2011/10/23
thursday november 17 1977,1977/11/17
friday june 23 1995,1995/6/23
mar 4 1987,1987/3/4
sunday july 9 1989,1989/7/9
friday june 19 1987,1987/6/19
tuesday march 16 2004,2004/3/16
27-Aug-77,1977/8/27
wednesday february 23 1972,1972/2/23
thursday december 10 1992,1992/12/10
wednesday march 5 2014,2014/3/5
friday december 25 2015,2015/12/25
friday june 16 1995,1995/6/16
10-Apr-11,2011/4/10
monday august 23 1976,1976/8/23
3-Jan-86,1986/1/3
2012/1/6,2006/12/1
friday march 7 1997,1997/3/7
may 31 1979,1979/5/31
12-Feb-85,1985/2/12
9/15/75,1975/9/15
6/5/86,1986/6/5
4-Jan-72,1972/1/4
saturday april 16 2005,2005/4/16
17-Feb-92,1992/2/17
29-Dec-78,1978/12/29
monday august 2 1971,1971/8/2
tuesday june 21 2005,2005/6/21
monday may 8 1972,1972/5/8
22.03.90,1990/3/22
friday december 24 2004,2004/12/24
8/15/93,1993/8/15
september 14 1972,1972/9/14
friday december 14 2001,2001/12/14
august 9 2011,2011/8/9
friday february 20 2004,2004/2/20
15.03.84,1984/3/15
8 12 86,1986/12/8
4-Apr-79,1979/4/4
11.06.06,2006/6/11
27-Oct-73,1973/10/27
2-Oct-05,2005/10/2
13-Feb-03,2003/2/13
8-Jul-94,1994/7/8
tuesday march 31 2009,2009/3/31
oct 18 1983,1983/10/18
3-Apr-10,2010/4/3
nov 8 1992,1992/11/8
thursday october 20 2016,2016/10/20
sunday august 27 2006,2006/8/27
friday may 17 1991,1991/5/17
sunday september 7 2008,2008/9/7
tuesday october 28 2003,2003/10/28
24-Sep-79,1979/9/24
wednesday may 3 2017,2017/5/3
02.06.00,2000/6/2
4-Oct-07,2007/10/4
friday march 20 1987,1987/3/20
may 3 2006,2006/5/3
23-Jan-70,1970/1/23
18.01.88,1988/1/18
sunday september 2 1973,1973/9/2
16-Dec-06,2006/12/16
friday september 8 2006,2006/9/8
tuesday november 17 1998,1998/11/17
9-Jan-72,1972/1/9
22.10.17,2017/10/22
2-Nov-03,2003/11/2
friday december 12 2014,2014/12/12
november 3 1986,1986/11/3
13-Apr-07,2007/4/13
9/8/93,1993/9/8
sunday february 21 1982,1982/2/21
thursday march 16 1972,1972/3/16
14-Jun-01,2001/6/14
2/14/16,2016/2/14
nov 12 1981,1981/11/12
monday november 25 1974,1974/11/25
sunday march 31 2002,2002/3/31
sunday october 20 2013,2013/10/20
saturday november 22 1975,1975/11/22
monday february 16 2004,2004/2/16
tuesday march 14 1995,1995/3/14
tuesday june 14 2016,2016/6/14
22-Jul-92,1992/7/22
22 07 12,2012/7/22
5-May-02,2002/5/5
25-Mar-05,2005/3/25
monday december 20 1999,1999/12/20
friday december 15 2006,2006/12/15
tuesday june 10 1980,1980/6/10
wednesday january 19 2005,2005/1/19
thursday march 20 2003,2003/3/20
september 27 1974,1974/9/27
tuesday may 6 1997,1997/5/6
monday december 30 2013,2013/12/30
thursday july 12 1979,1979/7/12
august 26 1998,1998/8/26
tuesday august 25 2015,2015/8/25
friday september 15 1989,1989/9/15
friday january 17 1975,1975/1/17
14.05.14,2014/5/14
3-Feb-96,1996/2/3
21-Feb-07,2007/2/21
december 17 1997,1997/12/17
31-Jul-71,1971/7/31
23-Oct-10,2010/10/23
wednesday january 3 2018,2018/1/3
19-Mar-83,1983/3/19
thursday january 9 2003,2003/1/9
friday august 23 1996,1996/8/23
wednesday january 19 2005,2005/1/19
march 22 2008,2008/3/22
saturday june 5 2010,2010/6/5
21-Apr-82,1982/4/21
monday december 25 2017,2017/12/25
apr 25 2016,2016/4/25
tuesday november 17 1981,1981/11/17
may 16 2011,2011/5/16
13-Feb-72,1972/2/13
17-Jul-92,1992/7/17
8/26/77,1977/8/26
19.05.14,2014/5/19
tuesday january 11 2000,2000/1/11
1/5/99,1999/1/5
22-Apr-86,1986/4/22
14-Jun-73,1973/6/14
10/12/90,1990/10/12
sunday march 14 2004,2004/3/14
11-Aug-90,1990/8/11
18-Mar-74,1974/3/18
sunday june 5 2011,2011/6/5
sunday march 5 2006,2006/3/5
friday january 6 1995,1995/1/6
tuesday march 27 2007,2007/3/27
17-Mar-13,2013/3/17
3-Jul-70,1970/7/3
15-Apr-04,2004/4/15
19.02.97,1997/2/19
4-Nov-98,1998/11/4
6-May-85,1985/5/6
3/29/93,1993/3/29
june 3 1971,1971/6/3
2/27/89,1989/2/27
april 9 1989,1989/4/9
sep 13 2011,2011/9/13
april 9 1993,1993/4/9
mar 31 2002,2002/3/31
sunday november 15 2015,2015/11/15
april 23 2015,2015/4/23
